product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url
B0BSMJNQC9,2,Blender Bottle Special Edition 28 Oz. Shaker with Loop Top - Roses,,11.95,,Blender Bottle,C03068,,9.53 x 4.09 x 4.06,5.6 oz,11,3.8 out of 5 stars,https://www.amazon.com/BlenderBottle-Special-Oz-Shaker-Loop/dp/B0BSMJNQC9/,https://m.media-amazon.com/images/I/51PbZ1On-XL.jpg,Forza Sports,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A6R3MV8PEIEMD&asin=B0BSMJNQC9&ref_=dp_merchant_link&isAmazonFulfilled=1
B09JZSGGMS,2,BlenderBottle Just for Fun Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout,28-Ounce,13.99,,BlenderBottle,C05279,Just for Fun Classic Shaker Bottle,3.81 x 8.94,5.6 oz,"7,294",4.8 out of 5 stars,https://www.amazon.com/BlenderBottle-Classic-Perfect-Protein-28-Ounce/dp/B09JZSGGMS/,https://m.media-amazon.com/images/I/61D7JU3+IIL.jpg,,
B0B24LLJDB,2,BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout,28-Ounce (2 Pack),21.98,,BlenderBottle,,,,,194,4.8 out of 5 stars,https://www.amazon.com/BlenderBottle-Classic-Perfect-Protein-28-Ounce/dp/B0B24LLJDB/,https://m.media-amazon.com/images/I/41KOYnwjd4L.jpg,,
B0BZTTB4KL,2,NaDale Shaker Bottle for Protein Mixes 12oz/400ml Pre Workout Shaker Bottles with A Small Stainless Blender Ball and Classic Loop Hook BPA Free,Purple,6.99,,NaDale,Shaker Bottle,Shaker Bottle,3.3 x 6.5,3.8 oz,112,4.3 out of 5 stars,https://www.amazon.com/NaDale-Protein-Workout-Bottles-Stainless/dp/B0BZTTB4KL/,https://m.media-amazon.com/images/I/61ssVWhzqGL.jpg,NaDale,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A148PHGZAE3Y25&asin=B0BZTTB4KL&ref_=dp_merchant_link&isAmazonFulfilled=1
B08BTHXWC5,2,BlenderBottle Marvel Shaker Bottle Pro Series Perfect for Protein Shakes and Pre Workout,28-Ounce,17.99,19.11,BlenderBottle,C04530,Marvel Shaker Bottle Pro Series,4.1 x 8.9,7.4 oz,"8,252",4.9 out of 5 stars,https://www.amazon.com/BlenderBottle-Marvel-Bottle-28-Ounce-Spider-Man/dp/B08BTHXWC5/,https://m.media-amazon.com/images/I/61fncpg6xVL.jpg,The Vitamin Shoppe,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A26XED0S1E7AO&asin=B08BTHXWC5&ref_=dp_merchant_link
B01LX4GS6I,2,BlenderBottle Classic Shaker Bottle Perfect for Protein Shakes and Pre Workout,28-Ounce,10.99,,BlenderBottle,C01628,Classic Shaker Bottle,3.75 x 8.75,5.6 oz,"105,747",4.8 out of 5 stars,https://www.amazon.com/BlenderBottle-Classic-Shaker-Bottle-28-Ounce/dp/B01LX4GS6I/,https://m.media-amazon.com/images/I/71tVcg2mZSL.jpg,,
B0BFF5MN6T,2,VOLTRX shaker Bottle,Gallium USB C Rechargeable Electric protein shake Mixer,19.99,25.99,VOLTRX,vt004,,3.54 x 10.24,8.8 oz,"4,558",4.3 out of 5 stars,https://www.amazon.com/VOLTRX-Gallium-Rechargeable-Electric-Replacement/dp/B0BFF5MN6T/,https://m.media-amazon.com/images/I/61xY5x1JAkL.jpg,voltrxsports,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2VDCACR72PGM4&asin=B0BFF5MN6T&ref_=dp_merchant_link&isAmazonFulfilled=1
B09Y4RYGN3,2,Electric Protein Shaker Bottle,24 oz USB Rechargeable Blender Bottles,24.99,45.99,ZonGym,1,,3 x 3,15.1 oz,"2,860",4.4 out of 5 stars,https://www.amazon.com/Electric-Protein-Rechargeable-Accessories-Portable/dp/B09Y4RYGN3/,https://m.media-amazon.com/images/I/61yZ2EoOj2L.jpg,GFB Zongym Store,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2BK9NI7XDD2NT&asin=B09Y4RYGN3&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BRPVXTX6,2,EBAT Shaker Bottle in Cute Pink (Lid & Cup) w. Classic Loop Hook,Leak Proof,7.99,,EBAT,MDWBK,MDWBK,3 x 6.5,3.84 oz,543,4.4 out of 5 stars,https://www.amazon.com/EBAT-Measurement-Stainless-Anti-Slip-Dishwasher/dp/B0BRPVXTX6/,https://m.media-amazon.com/images/I/81SjM0QjR0L.jpg,Utopiang,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A32YT4KS88PB8W&asin=B0BRPVXTX6&ref_=dp_merchant_link&isAmazonFulfilled=1
B08DV9819H,2,Hydracup [6 Pack] - 28 oz OG Shaker Bottle for Protein Powder Shakes & Mixes,Dual Blender,29.99,39.99,Hydracup,6 Pack V1,6 Pack V1,9 x 4.5,1.8 lbs,"7,306",4.6 out of 5 stars,https://www.amazon.com/HydraCup-Pack-Shaker-Bottle-Protein/dp/B08DV9819H/,https://m.media-amazon.com/images/I/717kS7emGhL.jpg,Hydra Cup Store,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AUTHV0Q6NF07A&asin=B08DV9819H&ref_=dp_merchant_link&isAmazonFulfilled=1
