product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url
B08CYD3WQ2,2,The Honest Company Sanitizing Alcohol Wipes ,Kills 99% of Germs,7.35,13.99,,,,,,"5,506",4.6 out of 5 stars,https://www.amazon.com/dp/B08CYD3WQ2,https://m.media-amazon.com/images/I/51PYk5eefbL.jpg,SENSATION,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2Y9759Y60YYXD&asin=B08CYD3WQ2&ref_=dp_merchant_link
B08B27V5MY,2,The Honest Company Silicone-Free Conditioner & 2-in-1 Cleansing Shampoo + Body Wash Duo ,Gentle for Baby,10.99,,,,,,,"2,906",4.7 out of 5 stars,https://www.amazon.com/dp/B08B27V5MY,https://m.media-amazon.com/images/I/31u219HFtnL.jpg,,
B07G4T8ZG7,2,The Honest Company Clean Conscious Diapers ,Plant-Based,16.99,,,,,,,"39,874",4.6 out of 5 stars,https://www.amazon.com/dp/B07G4T8ZG7,https://m.media-amazon.com/images/I/81gHUMEK1TL.jpg,,
B07F462B2D,2,Honest Beauty 2-in-1 Extreme Length Clean Mascara + Lash Primer ,Lengthening + Volumizing,18.98,,,,,,,"17,932",4.2 out of 5 stars,https://www.amazon.com/dp/B07F462B2D,https://m.media-amazon.com/images/I/210TXgp47zL.jpg,,
B072QXWXS6,2,The Honest Company 2-in-1 Cleansing Shampoo + Body Wash ,Gentle for Baby,10.99,,,,,,,"6,224",4.7 out of 5 stars,https://www.amazon.com/dp/B072QXWXS6,https://m.media-amazon.com/images/I/518ZzlvNq5L.jpg,,
B086LKQDJG,2,The Honest Company Clean Conscious Wipes ,99% Water,66.99,,,,,,,"5,311",4.9 out of 5 stars,https://www.amazon.com/dp/B086LKQDJG,https://m.media-amazon.com/images/I/41jgHxvkskL.jpg,,
B01LDZJHAE,2,The Honest Company Foaming Bubble Bath ,Gentle for Baby,21.45,,,,,,,"21,599",4.7 out of 5 stars,https://www.amazon.com/dp/B01LDZJHAE,https://m.media-amazon.com/images/I/31SmpPjiz3L.jpg,,
B013C9OKVU,2,The Honest Company Clean Conscious Wipes ,99% Water,18.99,,,,,,,"6,163",4.8 out of 5 stars,https://www.amazon.com/dp/B013C9OKVU,https://m.media-amazon.com/images/I/41hpCoA55QL.jpg,,
B01M4QMQ4B,2,The Honest Company 2-in-1 Cleansing Shampoo + Body Wash ,Gentle for Baby,10.97,,,,,,,"13,905",4.8 out of 5 stars,https://www.amazon.com/dp/B01M4QMQ4B,https://m.media-amazon.com/images/I/31qgvgy2-GL.jpg,,
B07NTS4RDR,2,Honest Beauty Tinted Lip Balm ,Antioxidant-rich Acai Extracts + Avocado Oil,9.99,,,,,,,"18,203",4.3 out of 5 stars,https://www.amazon.com/dp/B07NTS4RDR,https://m.media-amazon.com/images/I/110yce6OZPL.jpg,,
B07M7C2MPJ,2,Honest Beauty Hydrogel Cream with Hyaluronic Acid,Jojoba,14.63,,,,,,,"6,726",4.4 out of 5 stars,https://www.amazon.com/dp/B07M7C2MPJ,https://m.media-amazon.com/images/I/31f03KMOl3L.jpg,,
B00KFITCXS,2,The Honest Company Organic Baby Diaper Rash Cream ,Moisturizing + Calming Zinc Oxide Ointment,10.97,,,,,,,"7,290",4.7 out of 5 stars,https://www.amazon.com/dp/B00KFITCXS,https://m.media-amazon.com/images/I/61JHiQVtzFL.jpg,,
B07G4TDMBB,2,The Honest Company Clean Conscious Diapers ,Plant-Based,29.99,,,,,,,"39,874",4.6 out of 5 stars,https://www.amazon.com/dp/B07G4TDMBB,https://m.media-amazon.com/images/I/71lw62YB84L.jpg,,
B0958JYLZN,2,The Honest Company Hydrate + Cleanse Benefit Wipes ,Cleansing Multi-Tasking Wipes,5.60,,,,,,,"1,407",4.4 out of 5 stars,https://www.amazon.com/dp/B0958JYLZN,https://m.media-amazon.com/images/I/31CPlcxxecL.jpg,,
B08VJCRKBB,2,The Honest Company Clean Conscious Diapers ,Plant-Based,24.51,,,,,,,"39,874",4.6 out of 5 stars,https://www.amazon.com/dp/B08VJCRKBB,https://m.media-amazon.com/images/I/7101o3ndpvL.jpg,,
B00W9P0J28,2,The Honest Company Hydrating Face + Body Lotion ,Fast Absorbing,9.00,,,,,,,"3,925",4.6 out of 5 stars,https://www.amazon.com/dp/B00W9P0J28,https://m.media-amazon.com/images/I/51+TqVNpeZL.jpg,MACSM Group,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1A9SBHLNPLEHV&asin=B00W9P0J28&ref_=dp_merchant_link
B07W34TCV7,2,The Honest Company Baby Arrival Gift Set ,Newborn Essentials Welcome Box,38.24,,,,,,,479,4.8 out of 5 stars,https://www.amazon.com/dp/B07W34TCV7,https://m.media-amazon.com/images/I/81MTkBqaKGL.jpg,,
