product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url
B0B67WPS9B,2,hk Backpack for Men Business Slim Backpack with USB Charger Computer Lightweight Anti-theft Travel Backpacks 15.6 inch Water Resistant Laptop Bag for Work Office College-Black,,36.99,36.99,hk,,,10.2 x 1.9 x 16.5,1.39 lbs,403,4.5 out of 5 stars,https://www.amazon.com/Lightweight-Anti-theft-Backpacks-Resistant-College-Black/dp/B0B67WPS9B/,https://m.media-amazon.com/images/I/61fLaqPsXbL.jpg,hk bag,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1SKMDW6VM2PNE&asin=B0B67WPS9B&ref_=dp_merchant_link&isAmazonFulfilled=1
B01LY3QXGP,2,Mancro Laptop Backpack for Travel,Anti-theft Laptop Backpack for Men Business Backpack Work Daypack with USB Charging Port,19.99,29.99,Mancro,100600GRY,,19 x 12.2 x 7,1.4 lbs,"20,860",4.6 out of 5 stars,https://www.amazon.com/Backpack-Computer-Resistant-Business-Mancro/dp/B01LY3QXGP/,https://m.media-amazon.com/images/I/91YandYecdL.jpg,Maxibox,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AYP5SWTJT4HKS&asin=B01LY3QXGP&ref_=dp_merchant_link&isAmazonFulfilled=1
B07YF1RWYV,2,Travel Laptop Backpack,Anti Theft Business Slim Backpack with USB Charging Port Lock,26.99,39.99,WENIG,,,11.81 x 7.48 x 17.72,1.67 lbs,"11,673",4.6 out of 5 stars,https://www.amazon.com/Backpack-Business-Charging-Resistant-Computer/dp/B07YF1RWYV/,https://m.media-amazon.com/images/I/71XoMaUrosL.jpg,WENIG Direct US,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2DEG0NKX2HO8H&asin=B07YF1RWYV&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BQ9ZJ233,2,Bagsure Travel Laptop Backpack,Business Water Resistant Laptop Backpack with USB Charging Port,29.99,,,,,,,"2,053",4.6 out of 5 stars,https://www.amazon.com/Bagsure-Backpack-Business-Resistant-Charging/dp/B09XC98KCQ/,https://m.media-amazon.com/images/I/81CwlKDp4UL.jpg,,
B09QJ5DNXR,2,Sowaovut Travel Laptop Backpack Anti-Theft Bag with usb Charging Port and Password Lock Fit 16 Inch Laptops for Men Women,,25.99,39.99,,,,9 x 13 x 19,2 lbs,"2,420",4.6 out of 5 stars,https://www.amazon.com/Backpack-Anti-Theft-Password-Laptops-College/dp/B09QJ5DNXR/,https://m.media-amazon.com/images/I/71xHyJPuE-L.jpg,SOWAOVUT,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A39W1XOFGD7H4X&asin=B09QJ5DNXR&ref_=dp_merchant_link&isAmazonFulfilled=1
B07SDNTVFD,2,SHRRADOO Anti Theft Laptop Backpack Travel Backpacks with usb Charging Port for Women Men College Backpack Computer Bag Fits 17 Inch Laptop,Gray,26.99,39.99,SHRRADOO,A16017,,14 x 10.5 x 19.5,2.25 lbs,"27,129",4.7 out of 5 stars,https://www.amazon.com/SHRRADOO-Mens-Kids-Rucksack-Gray/dp/B07SDNTVFD/,https://m.media-amazon.com/images/I/71qpXciYP1L.jpg,TUBU,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ARUQ351AG5FCY&asin=B07SDNTVFD&ref_=dp_merchant_link&isAmazonFulfilled=1
B06XZTZ7GB,2,Matein Travel Laptop Backpack,Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port,29.99,39.96,YoTwo,LSG1004GRYB1,,12 x 18 x 7.8,1.56 lbs,"90,629",4.7 out of 5 stars,https://www.amazon.com/Backpack-Business-Charging-Resistant-Computer/dp/B06XZTZ7GB/,https://m.media-amazon.com/images/I/81L8quiJXhL.jpg,YoTwo,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1PQG4T5PZRJDI&asin=B06XZTZ7GB&ref_=dp_merchant_link&isAmazonFulfilled=1
B07GTTYJMG,2,Mancio Vintage Laptop Business Backpack with USB Charging Port for Travelling,College,19.19,41.99,wenjie,8541574391,,11.8 x 16.5 x 5.1,1.54 lbs,"10,361",4.6 out of 5 stars,https://www.amazon.com/Backpack-Charging-Resistant-Business-College/dp/B07GTTYJMG/,https://m.media-amazon.com/images/I/7112BpcDsnL.jpg,Mancio Pack,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ATOZOWP9A300Z&asin=B07GTTYJMG&ref_=dp_merchant_link&isAmazonFulfilled=1
B0B82Y74HR,2,LOVEVOOK Backpack for Women,Fits 15.6 Inch Laptop Bag,29.99,49.99,LOVEVOOK,201202M,,7.5 x 12 x 16,1.85 lbs,"1,643",4.7 out of 5 stars,https://www.amazon.com/LOVEVOOK-Backpack-Anti-theft-Backpacks-Beige-Black-Brown/dp/B0B82Y74HR/,https://m.media-amazon.com/images/I/71Mb0xgBgmL.jpg,RuiNeng-US,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AN33B7PAOGFVD&asin=B0B82Y74HR&ref_=dp_merchant_link&isAmazonFulfilled=1
B084T7YJ5R,2,SwissGear Cecil 5505 Laptop Backpack,Black,49.00,59.99,SwissGear,5505202408,,6 x 13 x 18,1.5 lbs,"1,850",4.6 out of 5 stars,https://www.amazon.com/SwissGear-Laptop-Black-18-inch/dp/B084T7YJ5R/,https://m.media-amazon.com/images/I/91q0tevalvL.jpg,TPM & Co.,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1RAL32L7M2RNZ&asin=B084T7YJ5R&ref_=dp_merchant_link
B0C1YW685M,2,SKYSPER Laptop Backpack 30L Travel Backpack for Women Men Work Business Backpack Bookbag Fits up to 17 Inch Laptop(Black),,19.99,39.99,SKYSPER,,,8.3 x 11.8 x 19.3,1.21 lbs,47,4.3 out of 5 stars,https://www.amazon.com/SKYSPER-Laptop-Backpack-Business-Bookbag/dp/B0C1YW685M/,https://m.media-amazon.com/images/I/71L8ixJIAUL.jpg,SKYSPER-US,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3JPGQ6NNV8XKR&asin=B0C1YW685M&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BNHSVJ7Y,2,Business Backpack for Men 17 Inch,Slim & Expandable Waterproof Travel Laptop Backpack with USB Charger Port,39.99,,,,,12.6 x 3.15 x 18.9,1.65 lbs,94,4.6 out of 5 stars,https://www.amazon.com/Expandable-Waterproof-Anti-Theft-Lightweight-Backpacks/dp/B0BNHSVJ7Y/,https://m.media-amazon.com/images/I/7125A+UCUoL.jpg,hk bag,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1SKMDW6VM2PNE&asin=B0BNHSVJ7Y&ref_=dp_merchant_link&isAmazonFulfilled=1
B00ESKY9FU,2,SwissGear 1900 Scansmart TSA 17-Inch Laptop Backpack,Gray/Black,76.72,89.99,SwissGear,19002415,,9 x 13.25 x 18.5,3.3 lbs,"24,016",4.7 out of 5 stars,https://www.amazon.com/SwissGear-Travel-Gear-Scansmart-Backpack/dp/B00ESKY9FU/,https://m.media-amazon.com/images/I/81ZNfzMaKaL.jpg,,
B092TQG5ZD,2,DUSLANG 17 Inch Laptop Backpack for Travel Water Resistant College Backpack for Men Laptop Bag with USB Charging Port,Black,29.99,,,WD-30191,,5 x 5 x 10,2.2 lbs,"1,105",4.6 out of 5 stars,https://www.amazon.com/Backpack-Business-Durable-Schoolbag-Charging/dp/B092TQG5ZD/,https://m.media-amazon.com/images/I/810gZYpPz9L.jpg,DUSLANG Boutique,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A31CSQPU10I1VU&asin=B092TQG5ZD&ref_=dp_merchant_link&isAmazonFulfilled=1
