product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url
B07CXJNH2S,2,Ytonet Laptop Case,15.6 inch TSA Laptop Sleeve Water Resistant Durable Computer Carrying Case Compatible for HP,15.98,25.99,Vogue shop,VE-US1025GRY,,15.35 x 11.42 x 1.38,10.6 oz,"21,712",4.6 out of 5 stars,https://www.amazon.com/Ytonet-Resistant-Computer-Carrying-Compatible/dp/B07CXJNH2S/,https://m.media-amazon.com/images/I/81On3MEFDRL.jpg,Urpack,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AAHM3UXDY9RY6&asin=B07CXJNH2S&ref_=dp_merchant_link&isAmazonFulfilled=1
B0792T1GC3,2,iColor 14 15 15.4 15.6 inch Laptop Handle Bag Computer Protect Case Pouch Holder Notebook Sleeve Neoprene Cover Soft Carring Travel Case for Dell Lenovo Toshiba HP Chromebook ASUS Acer Purple ICB-01,,16.99,,iColor,,,15.7 x 11.4 x 0.78,8.8 oz,"5,978",4.7 out of 5 stars,https://www.amazon.com/Computer-Protect-Notebook-Neoprene-Chromebook/dp/B0792T1GC3/,https://m.media-amazon.com/images/I/61qP3vEuC3L.jpg,WINTOJO Direct,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1WYXF0FVSB97I&asin=B0792T1GC3&ref_=dp_merchant_link&isAmazonFulfilled=1
B0C2PXD9KK,2,BAGSMART 13-14 inch Laptop Sleeve with Handle,Puffy Padded Case Accessories Bag,17.99,20.99,BAGSMART,BM0303005AS399,,13.9 x 10.23 x 0.98,7.1 oz,122,4.5 out of 5 stars,https://www.amazon.com/BAGSMART-Laptop-Accessories-MacBook-Computer/dp/B0C2PXD9KK/,https://m.media-amazon.com/images/I/71eKQ1pyUsL.jpg,BAGSMART DIRECT,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ALWAGRVYS3VJA&asin=B0C2PXD9KK&ref_=dp_merchant_link&isAmazonFulfilled=1
B071XRR5NX,2,DACHEE Black Peony Patten Waterproof Shoulder Messenger Bag Case Sleeve for 14 Inch 15 Inch Laptop Briefcase 15.6 Inch,,14.99,15.99,DACHEE,plastic,,16.54 x 11.81 x 0.98,1 lbs,"10,171",4.6 out of 5 stars,https://www.amazon.com/DACHEE-Waterproof-Shoulder-Messenger-Briefcase/dp/B071XRR5NX/,https://m.media-amazon.com/images/I/71pqcSJLwvL.jpg,Dachee,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A43FIDHJ2YICR&asin=B071XRR5NX&ref_=dp_merchant_link&isAmazonFulfilled=1
B084Z2F1B2,2,Lacdo 360° Protective 14 Inch Laptop Sleeve Case for HP Lenovo Dell ASUS Acer Chromebook 14 / HP Stream 14 / Dell Inspiron 14 / Lenovo IdeaPad 14 / Acer Spin 3 / ASUS ZenBook 14 Computer Bag,Blue,19.99,,Lacdo,B1B78C2,,14 x 1 x 10,9.9 oz,"22,751",4.7 out of 5 stars,https://www.amazon.com/Lacdo-Protective-Computer-Portable-Chromebook/dp/B084Z2F1B2/,https://m.media-amazon.com/images/I/81bEIH+ZpfL.jpg,Liduo Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A21DWF9RUVEI1T&asin=B084Z2F1B2&ref_=dp_merchant_link&isAmazonFulfilled=1
B0C7Z46KLF,2,LANDICI Puffy Laptop Sleeve Carrying Case 13 13.3 13.6 Inch Compatible with MacBook Air 13 M1/M2,MacBook Pro 13,18.99,,LANDICI,US-FRZ-laptop sleeve 8564-13-Apricot,,13 x 9.25 x 1,7 oz,21,4.5 out of 5 stars,https://www.amazon.com/LANDICI-Carrying-Compatible-Computer-Accessories/dp/B0C7Z46KLF/,https://m.media-amazon.com/images/I/612fmq0u8GL.jpg,LANDICI,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ASE68LSM59CKW&asin=B0C7Z46KLF&ref_=dp_merchant_link&isAmazonFulfilled=1
B0834MXPB5,2,MOSISO Compatible with MacBook Pro 13 inch Case M2 2023,2022,16.99,16.99,Mosiso,,,12 x 8.5 x 0.6,10.4 oz,"40,047",4.2 out of 5 stars,https://www.amazon.com/MOSISO-Keyboard-Protector-Compatible-Midnight/dp/B0834MXPB5/,https://m.media-amazon.com/images/I/51G5AefsuhL.jpg,Mosiso,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3G9CCM7NUAREO&asin=B0834MXPB5&ref_=dp_merchant_link&isAmazonFulfilled=1
B017JHHP68,2,ProCase Laptop Sleeve Case,15 15.6 inch Laptop Bag Water Resistance Durable Computer Carrying Case Cover,15.99,39.99,ProCase,Universal Sleeve Case Bag 15_Light Grey,,15.8 x 11.2 x 0.32,7.8 oz,"38,424",4.7 out of 5 stars,https://www.amazon.com/ProCase-Sleeve-Case-Bag-Grey/dp/B017JHHP68/,https://m.media-amazon.com/images/I/918cHEixUUL.jpg,Tech Vendor,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2C3SMXXIDC93V&asin=B017JHHP68&ref_=dp_merchant_link&isAmazonFulfilled=1
B075Y73SDV,2,Lenovo Laptop Shoulder Bag T210,Fits up to 17-inch laptop or tablet, ,19.99,,,,,,"11,979",4.7 out of 5 stars,https://www.amazon.com/Lenovo-Carrying-15-6-Inch-Water-Repellent-GX40Q17231/dp/B075Y73SDV/,https://m.media-amazon.com/images/I/81iqTfVhA6L.jpg,,
B01M4QPUXW,2,canvaslife White Rose Patten Waterproof Shoulder Messenger Bag Case Sleeve for 14 Inch 15 Inch Laptop Briefcase 15.6 Inch,,13.99,,No,4328547701,,16.6 x 12 x 1.7,1.1 lbs,"9,654",4.7 out of 5 stars,https://www.amazon.com/Canvaslife-Patten-Shoulder-Messenger-Briefcase/dp/B01M4QPUXW/,https://m.media-amazon.com/images/I/91VrApHSa0L.jpg,canvaslife,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2U9T9RP1709O5&asin=B01M4QPUXW&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BS9G6XBM,2,BAGSMART Protective Sleeve case Compatible with MacBook Pro 16 Inch,15.6 inch,19.99,20.99,BAGSMART,BM0303003AP268,,15.74 x 0.98 x 11.41,10.5 oz,"2,521",4.6 out of 5 stars,https://www.amazon.com/BAGSMART-Compatible-Notebook-Protective-Shoulder/dp/B0BS9G6XBM/,https://m.media-amazon.com/images/I/81fX5HApiuL.jpg,BAGSMART DIRECT,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ALWAGRVYS3VJA&asin=B0BS9G6XBM&ref_=dp_merchant_link&isAmazonFulfilled=1
B07M5N8X11,2,KROSER Laptop Bag Premium Laptop Briefcase Fits Up to 17.3 Inch Laptop Expandable Water-Repellent Shoulder Messenger Bag Computer Bag for Travel/Business/Men/Women-Black,,35.99,,KROSER,DKL181,,18 x 12.8 x 7.5,1.76 lbs,"8,644",4.7 out of 5 stars,https://www.amazon.com/KROSER-Briefcase-Expandable-Water-Repellent-Women-Black/dp/B07M5N8X11/,https://m.media-amazon.com/images/I/912zP+qy8IL.jpg,KROSER,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A20SH7GRVH1HYX&asin=B07M5N8X11&ref_=dp_merchant_link&isAmazonFulfilled=1
