product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url
B00006IE86,2,uni-ball Deluxe Micro Point Roller Ball Pens,Blue (60027),,,,,,,,"1,315",4.7 out of 5 stars,https://www.amazon.com/dp/B00006IE86,https://m.media-amazon.com/images/I/71sZDm3Ol7L.jpg,,
B00006IE8K,2,Uniball Vision Rollerball Pens,Blue Pens Pack of 12,16.35,,Uni-Ball,60134,,5.2 x 0.2 x 0.3,1.6 oz,"4,826",4.8 out of 5 stars,https://www.amazon.com/dp/B00006IE8K,https://m.media-amazon.com/images/I/71I8r4X14oL.jpg,,
B00006IE87,2,Uniball Onyx Rollerball Stick Pen 12 Pack,0.5mm Micro Black Pens,9.91,,0,60040,,0.3 x 0.5 x 7.6,0.16 oz,"3,883",4.7 out of 5 stars,https://www.amazon.com/dp/B00006IE87,https://m.media-amazon.com/images/I/71c+ueW1IXL.jpg,,
B00006IE8B,2,Uniball Deluxe Rollerball Pen,12 Black Pens,21.07,,Uni-Ball,60052,,0.3 x 0.5 x 7.6,4 oz,"1,020",4.7 out of 5 stars,https://www.amazon.com/dp/B00006IE8B,https://m.media-amazon.com/images/I/71BKw2ylIrL.jpg,"MyOfficeInnovations/Staples, Inc.",/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1UEW3GW612BDQ&asin=B00006IE8B&ref_=dp_merchant_link
B00006IE8M,2,Uniball Onyx Rollerball Stick Pen 12 Pack,0.7mm Fine Black Pens,9.91,,0,60143,,0.3 x 0.5 x 7.6,3.4 oz,"1,991",4.5 out of 5 stars,https://www.amazon.com/dp/B00006IE8M,https://m.media-amazon.com/images/I/71iwnvB+ZAL.jpg,,
B00006IE8H,2,Uniball Vision Rollerball Pens,Black Pens Pack of 12,10.34,,Uni-Ball,60106DZ,,0.3 x 0.5 x 5.6,4.8 oz,"1,551",4.7 out of 5 stars,https://www.amazon.com/dp/B00006IE8H,https://m.media-amazon.com/images/I/71gNQoY0SmL.jpg,"MyOfficeInnovations/Staples, Inc.",/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1UEW3GW612BDQ&asin=B00006IE8H&ref_=dp_merchant_link
B00006IE8J,2,Uniball Vision Rollerball Pens,Black Pens Pack of 12,25.25,33.99,Uni-Ball,60126,,1 x 3 x 6,5 oz,"4,826",4.8 out of 5 stars,https://www.amazon.com/dp/B00006IE8J,https://m.media-amazon.com/images/I/71oC7xGZ07L.jpg,,
B00006IE8P,2,uni-ball Roller Rollerball Pens Fine Point Micro Tip,0.5mm,11.89,,Uni-ball,60151,,2.9 x 1 x 5.7,0.32 oz,"6,608",4.7 out of 5 stars,https://www.amazon.com/dp/B00006IE8P,https://m.media-amazon.com/images/I/61-IuOMYSxL.jpg,,
B00006IE8R,2,Uniball Roller Grip 12 Pack in Blue,0.5mm Micro Rollerball Pens,9.88,14.99,0,60153,,0.3 x 0.5 x 7.6,3.2 oz,"6,608",4.7 out of 5 stars,https://www.amazon.com/dp/B00006IE8R,https://m.media-amazon.com/images/I/71wvr0k-5bL.jpg,,
B00006IE9I,2,Uniball Vision Elite Rollerball Pens,Black Pens Pack of 12,21.09,38.49,Uni-Ball,69000,,5.9 x 3.1 x 1.2,6.4 oz,"4,882",4.7 out of 5 stars,https://www.amazon.com/dp/B00006IE9I,https://m.media-amazon.com/images/I/71iwS0O6rwL.jpg,,
B00006IE9J,2,Uniball Vision Elite BLX Rollerball Pens,Blue/Black Pens Pack of 12,24.26,38.49,Uni-Ball,69020,,0.3 x 0.5 x 5.7,4 oz,"4,882",4.7 out of 5 stars,https://www.amazon.com/dp/B00006IE9J,https://m.media-amazon.com/images/I/71YVxyZ1ddL.jpg,,
B00008D96R,2,Uni-ball 718982 Permanent Marker - Gold,,11.93,,Uni-Ball,718982,,5.51 x 0.39 x 0.39,0.705 oz,30,4.2 out of 5 stars,https://www.amazon.com/dp/B00008D96R,https://m.media-amazon.com/images/I/51t86PDsKvL.jpg,Pilotfish,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2RW73PB81B06P&asin=B00008D96R&ref_=dp_merchant_link
B00008XPO7,2,uni-ball Vision Elite BLX Infusion Rollerball Pens Bold Point,0.8mm,21.99,,Uni-ball,61232,,0.3 x 0.5 x 7.6,1.12 oz,"2,910",4.8 out of 5 stars,https://www.amazon.com/dp/B00008XPO7,https://m.media-amazon.com/images/I/714xVZV9gpL.jpg,,
B00006JNHP,2,Uniball Signo 207 Impact Stick Gel Pen,4 Black Pens,22.10,,0,65812PP,,0.3 x 0.5 x 7.6,1.12 oz,"1,637",4.8 out of 5 stars,https://www.amazon.com/dp/B00006JNHP,https://m.media-amazon.com/images/I/71VdQbCgM3L.jpg,,
B00006JNI3,2,Uniball Signo 207 Impact Stick Gel Pen,12 Black Pens,22.10,,Uni-Ball,65800,,5.9 x 3.4 x 1.1,5.8 oz,"2,203",4.7 out of 5 stars,https://www.amazon.com/dp/B00006JNI3,https://m.media-amazon.com/images/I/710biK3VqlL.jpg,,
B00008XPO8,2,Uniball Vision Elite Rollerball Pens,Black Pens Pack of 12,17.29,38.49,Uni-Ball,61231,,0.3 x 0.5 x 7.6,5.6 oz,"2,568",4.8 out of 5 stars,https://www.amazon.com/dp/B00008XPO8,https://m.media-amazon.com/images/I/71gHI1cKruL.jpg,ODP Business Solutions,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3HJAK4Y3CLGV9&asin=B00008XPO8&ref_=dp_merchant_link
B0002LCVVI,2,Uniball Signo 207 Gel Pen 12 Pack,0.7mm Medium Blue Pens,6.68,,Uni-ball,33951,,5.87 x 3 x 1.18,5 oz,"13,391",4.7 out of 5 stars,https://www.amazon.com/dp/B0002LCVVI,https://m.media-amazon.com/images/I/71duZQhbLsL.jpg,,
B0002LD1NK,2,Uniball Jetstream Stick Pen 12 Pack,1.0mm Medium Black Pens,19.22,32.49,Uni-Ball,33921,,6 x 3 x 1.2,3.8 oz,"1,584",4.7 out of 5 stars,https://www.amazon.com/dp/B0002LD1NK,https://m.media-amazon.com/images/I/71wZ0metXSL.jpg,,
B0002LD112,2,Black Retractable Gel Pens 2 Pack with Medium Points,Uni-Ball 207 Signo Click Pens are Fraud Proof and the Best Office Pens,8.99,,Uni-ball,33957PP,,0.59 x 2 x 7.62,0.01 oz,"1,409",4.6 out of 5 stars,https://www.amazon.com/dp/B0002LD112,https://m.media-amazon.com/images/I/617ruPiIgPL.jpg,,
B0002LD1VC,2,Uniball Signo 207 Gel Pen 4 Pack,0.7mm Medium Black Pens,6.05,,0,33960PP,,0.73 x 3.75 x 7.62,1.6 oz,"3,729",4.7 out of 5 stars,https://www.amazon.com/dp/B0002LD1VC,https://m.media-amazon.com/images/I/71Pk4iWIjPL.jpg,,
B0006HXIJW,2,uni-ball 65808 Refill for uni-ball Gel IMPACT Gel Pen Bold Black Ink 2/Pack,,4.91,,SANFORD CORPORATION,AZSAN65808,,7.63 x 2.13 x 0.3,0.16 oz,26,4.5 out of 5 stars,https://www.amazon.com/dp/B0006HXIJW,https://m.media-amazon.com/images/I/513QbFrKs2L.jpg,Smart Toners,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NZR5PY384PKK&asin=B0006HXIJW&ref_=dp_merchant_link
B000BQK57G,2,Uniball Vision Elite Rollerball Pens,Black Pen,4.99,,Uni-Ball,69110PP,,0.3 x 0.5 x 7.5,0.317 oz,144,4.6 out of 5 stars,https://www.amazon.com/dp/B000BQK57G,https://m.media-amazon.com/images/I/81w5952FRVL.jpg,,
B000E91VIW,2,uni-ball Refills for uni-ball Power Tank RT Ballpoint Pen,,Page 1 of 1  ,,uni-ball,SAN42083PP,,0.3 x 2.1 x 7.6,0.48 oz,23,4.2 out of 5 stars,https://www.amazon.com/dp/B000E91VIW,https://m.media-amazon.com/images/I/616dmO2OB-L.jpg,,
B000GAXW7M,2,SAN70333 - Uni-ball Magnetic Dry Erase Board,,,,Sanford Ink Corporation,70333,,,0.01 oz,,,https://www.amazon.com/dp/B000GAXW7M,https://m.media-amazon.com/images/I/41cnC7Fg00L.jpg,,
B000K65YNW,2,uni-Ball Signo 207 147421 Refill Cartridge 0.4 mm Red,,,,MITSUBISHI PENCIL,147421,,3.94 x 1.97 x 3.94,0.32 oz,8,4.6 out of 5 stars,https://www.amazon.com/dp/B000K65YNW,https://m.media-amazon.com/images/I/41h+eQYryrL.jpg,,
B000FD5818,2,Uniball Signo 207 Gel Pen 8 Pack,0.7mm Medium Assorted Pens,13.49,17.99,0,40110,,0.5 x 5.7 x 7.6,1.6 oz,613,4.5 out of 5 stars,https://www.amazon.com/dp/B000FD5818,https://m.media-amazon.com/images/I/71ZltHQmMLL.jpg,Alexa's Toybox,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AO8CO08PRR5OV&asin=B000FD5818&ref_=dp_merchant_link&isAmazonFulfilled=1
